ID_Cliente,Abandono,Genero,Adulto_Mayor,Socio,Dependientes,Meses_Permanencia,Servicio_Telefonico,Lineas_Multiples,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cuentas_Diarias,Cargos_Totales,Total_Servicios
0002-ORFBO,0.0,Femenino,0,1,1,9,1,No,DSL,No,Yes,No,Yes,Yes,No,Anual,1,Cheque por Correo,65.6,2.1866666666666665,593.3,0.0
0003-MKNFE,0.0,Masculino,0,0,0,9,1,Yes,DSL,No,No,No,No,No,Yes,Mensual,0,Cheque por Correo,59.9,1.9966666666666666,542.4,0.0
0004-TLHLJ,1.0,Masculino,0,0,0,4,1,No,Fibra Óptica,No,No,Yes,No,No,No,Mensual,1,Cheque Electrónico,73.9,2.4633333333333334,280.85,0.0
0011-IGKFF,1.0,Masculino,1,1,0,13,1,No,Fibra Óptica,No,Yes,Yes,No,Yes,Yes,Mensual,1,Cheque Electrónico,98.0,3.2666666666666666,1237.85,0.0
0013-EXCHZ,1.0,Femenino,1,1,0,3,1,No,Fibra Óptica,No,No,No,Yes,Yes,No,Mensual,1,Cheque por Correo,83.9,2.796666666666667,267.4,0.0
0013-MHZWF,0.0,Femenino,0,0,1,9,1,No,DSL,No,No,No,Yes,Yes,Yes,Mensual,1,Tarjeta de Crédito,69.4,2.3133333333333335,571.45,0.0
0013-SMEOE,0.0,Femenino,1,1,0,71,1,No,Fibra Óptica,Yes,Yes,Yes,Yes,Yes,Yes,Bienal,1,Transferencia Bancaria,109.7,3.6566666666666667,7904.25,0.0
0014-BMAQU,0.0,Masculino,0,1,0,63,1,Yes,Fibra Óptica,Yes,No,No,Yes,No,No,Bienal,1,Tarjeta de Crédito,84.65,2.8216666666666668,5377.8,0.0
0015-UOCOJ,0.0,Femenino,1,0,0,7,1,No,DSL,Yes,No,No,No,No,No,Mensual,1,Cheque Electrónico,48.2,1.6066666666666667,340.35,0.0
0016-QLJIS,0.0,Femenino,0,1,1,65,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Bienal,1,Cheque por Correo,90.45,3.015,5957.9,0.0
0017-DINOC,0.0,Masculino,0,0,0,54,0,No phone service,DSL,Yes,No,No,Yes,Yes,No,Bienal,0,Tarjeta de Crédito,45.2,1.5066666666666668,2460.55,0.0
0017-IUDMW,0.0,Femenino,0,1,1,72,1,Yes,Fibra Óptica,Yes,Yes,Yes,Yes,Yes,Yes,Bienal,1,Tarjeta de Crédito,116.8,3.893333333333333,8456.75,0.0
